IlmnID,CHR,Position,Strand,UCSC_RefGene_Name,Genome_Build
cg03358373,7,73498094,+,LIMK1,GRCh37
cg03360716,7,86596636,+,KIAA1324L;KIAA1324L;KIAA1324L,GRCh37
cg03361067,7,30066623,-,FKBP14,GRCh37
cg03361346,7,5428014,-,TNRC18,GRCh37
cg03361379,7,157367159,+,PTPRN2;PTPRN2;MIR153-2;PTPRN2,GRCh37
cg03361504,7,150868190,+,,GRCh37
cg03362840,7,134464295,+,CALD1;CALD1;CALD1;CALD1;CALD1;CALD1,GRCh37
cg03364193,7,100167564,-,,GRCh37
cg03364498,7,899545,-,UNC84A;UNC84A,GRCh37
cg03364620,7,582347,+,,GRCh37
cg03366574,7,2764599,-,,GRCh37
cg03366850,7,28998595,-,TRIL,GRCh37
cg03366925,7,42277410,-,GLI3,GRCh37
cg03367558,7,5292696,+,,GRCh37
cg03367622,7,144967385,+,,GRCh37
cg03367757,7,19147041,-,,GRCh37
cg03368099,7,27184521,-,HOXA5,GRCh37
cg03368627,7,122056647,-,CADPS2;CADPS2;CADPS2,GRCh37
cg03369289,7,152619168,+,,GRCh37
cg03369382,7,139427635,-,HIPK2;HIPK2,GRCh37
cg03369668,7,2578307,+,C7orf27,GRCh37
cg03369957,7,100252863,-,ACTL6B,GRCh37
cg03370077,7,50801423,+,GRB10;GRB10;GRB10,GRCh37
cg03370270,7,106065603,-,,GRCh37
cg03372042,7,48579509,+,ABCA13,GRCh37
cg03373857,7,74489715,-,WBSCR16,GRCh37
cg03375002,7,73623876,-,LAT2;LAT2;LAT2,GRCh37
cg03377073,7,157980803,+,PTPRN2;PTPRN2;PTPRN2,GRCh37
cg03377980,7,1363035,+,,GRCh37
cg03378525,7,5530946,-,FBXL18,GRCh37
cg03379100,7,128494225,-,FLNC;FLNC,GRCh37
cg03379270,7,889293,-,UNC84A;UNC84A,GRCh37
cg03379322,7,94292889,+,PEG10;PEG10,GRCh37
cg03381237,7,155446645,-,RBM33,GRCh37
cg03382549,7,34799274,+,AAA1;NPSR1;NPSR1,GRCh37
cg03382715,7,144535254,-,,GRCh37
cg03383239,7,39740448,+,RALA,GRCh37
cg03383295,7,1709580,-,,GRCh37
cg03383472,7,2314947,-,SNX8,GRCh37
cg03383553,7,5349072,+,TNRC18,GRCh37
cg03383886,7,156336617,-,,GRCh37
cg03384175,7,94286343,-,SGCE;PEG10;SGCE;PEG10;SGCE,GRCh37
cg03384735,7,142989662,+,CASP2;CASP2,GRCh37
cg03385696,7,75988425,+,YWHAG,GRCh37
cg03386480,7,95401695,-,DYNC1I1;DYNC1I1;DYNC1I1,GRCh37
cg03386508,7,142552587,-,EPHB6,GRCh37
cg03388575,7,1765158,+,ELFN1,GRCh37
cg03389650,7,56553709,-,,GRCh37
cg03391854,7,157961629,+,PTPRN2;PTPRN2;PTPRN2,GRCh37
cg03392753,7,1005576,+,COX19,GRCh37
cg03392965,7,30931622,-,FAM188B,GRCh37
cg03393322,7,4260883,+,SDK1;SDK1,GRCh37
cg03401577,7,158734904,-,WDR60,GRCh37
cg03403176,7,36013341,-,,GRCh37
cg03403539,7,23221679,-,NUPL2;NUPL2,GRCh37
cg03406778,7,1601923,+,,GRCh37
cg03407140,7,8482877,-,NXPH1,GRCh37
cg03407666,7,135242461,-,NUP205,GRCh37
cg03407889,7,66310685,+,LOC729156,GRCh37
cg03407945,7,130072618,+,TSGA14,GRCh37
cg03410027,7,816674,-,HEATR2,GRCh37
cg03410231,7,143042798,+,CLCN1,GRCh37
cg03411270,7,8301693,+,ICA1;ICA1;ICA1,GRCh37
cg03412967,7,143825736,+,OR2A14,GRCh37
cg03413097,7,156811422,+,,GRCh37
cg03413475,7,150925067,-,ABCF2;ABCF2,GRCh37
cg03413857,7,937425,+,,GRCh37
cg03413884,7,54610928,-,VSTM2A,GRCh37
cg03423221,7,148484185,-,CUL1,GRCh37
cg03423395,7,588639,-,,GRCh37
cg03425506,7,16566464,+,,GRCh37
cg03426236,7,156756354,-,NOM1,GRCh37
cg03426413,7,143826860,-,OR2A14,GRCh37
cg03426615,7,150773354,+,SLC4A2,GRCh37
cg03428036,7,158672714,-,WDR60,GRCh37
cg03428881,7,150725579,+,ABCB8;ABCB8,GRCh37
cg03428981,7,142551527,-,EPHB6,GRCh37
cg03429034,7,99613105,-,ZKSCAN1,GRCh37
cg03429152,7,548567,+,PDGFA;PDGFA,GRCh37
cg03431155,7,101840446,-,CUX1;CUX1;CUX1,GRCh37
cg03431524,7,100142441,+,AGFG2,GRCh37
cg03432172,7,101556171,-,CUX1;CUX1;CUX1,GRCh37
cg03436029,7,100420212,-,EPHB4,GRCh37
cg03436397,7,102067162,-,,GRCh37
cg03436478,7,94286760,-,SGCE;PEG10;SGCE;PEG10;SGCE,GRCh37
cg03436530,7,8007940,-,GLCCI1,GRCh37
cg03436722,7,1643298,+,,GRCh37
cg03436967,7,147207052,+,MIR548I4;CNTNAP2,GRCh37
cg03437186,7,45614848,-,ADCY1,GRCh37
cg03439301,7,136190456,-,,GRCh37
cg03439587,7,71407306,-,CALN1;CALN1,GRCh37
cg03440386,7,142008025,+,,GRCh37
cg03440944,7,45023329,-,C7orf40,GRCh37
cg03441409,7,89840824,-,STEAP2;STEAP2,GRCh37
cg03442376,7,27200451,-,,GRCh37
cg03443922,7,107384711,+,CBLL1;CBLL1,GRCh37
cg03446559,7,150871201,+,,GRCh37
cg03446694,7,105176805,+,RINT1,GRCh37
cg03446876,7,129414697,-,MIR96,GRCh37
cg03447880,7,31121827,+,ADCYAP1R1,GRCh37
cg03449398,7,92673015,+,,GRCh37
cg03450844,7,150416671,+,GIMAP1,GRCh37
cg03451029,7,79764387,+,GNAI1;GNAI1,GRCh37
cg03451607,7,134250223,-,AKR1B15,GRCh37
cg03453431,7,157225567,+,,GRCh37
cg03453549,7,1152687,-,C7orf50;C7orf50;C7orf50,GRCh37
cg03453916,7,31174468,-,,GRCh37
cg03454541,7,5111488,-,LOC389458,GRCh37
cg03455418,7,100612725,-,MUC12,GRCh37
cg03455641,7,2354203,+,SNX8,GRCh37
cg03456212,7,26904342,-,SKAP2,GRCh37
cg03456220,7,128494696,-,FLNC;FLNC,GRCh37
cg03456512,7,107531689,+,DLD;DLD,GRCh37
cg03456771,7,56242072,-,,GRCh37
cg03456993,7,27275625,+,,GRCh37
cg03457229,7,98552884,+,TRRAP,GRCh37
cg03457472,7,3339766,+,SDK1,GRCh37
cg03460001,7,101460955,-,CUX1;CUX1;CUX1,GRCh37
cg03461110,7,4778881,+,FOXK1,GRCh37
cg03461361,7,83624353,-,SEMA3A,GRCh37
cg03461678,7,100859600,-,ZNHIT1;PLOD3,GRCh37
cg03462130,7,5631268,-,FSCN1,GRCh37
cg03463153,7,22586925,-,,GRCh37
cg03464200,7,149518917,+,SSPO,GRCh37
cg03464229,7,120646878,-,C7orf58;C7orf58,GRCh37
cg03464473,7,72343742,+,,GRCh37
cg03464514,7,137028442,-,PTN;PTN,GRCh37
cg03464573,7,27205504,+,HOXA9,GRCh37
cg03465157,7,38725962,+,FAM183B,GRCh37
cg03466198,7,50727932,-,GRB10;GRB10;GRB10;GRB10,GRCh37
cg03466644,7,102389327,+,FAM185A;FAM185A;FAM185A,GRCh37
cg03466841,7,24663627,+,MPP6,GRCh37
cg03467067,7,25219792,-,C7orf31;C7orf31,GRCh37
cg03469122,7,107380932,-,,GRCh37
cg03469471,7,150707830,+,NOS3,GRCh37
cg03469683,7,157084627,+,,GRCh37
cg03470754,7,44105166,-,PGAM2;PGAM2,GRCh37
cg03472695,7,154661095,+,DPP6;DPP6;DPP6,GRCh37
cg03472954,7,597596,+,PRKAR1B;PRKAR1B;PRKAR1B;PRKAR1B;PRKAR1B;PRKAR1B,GRCh37
cg03473125,7,157550806,-,PTPRN2;PTPRN2;PTPRN2,GRCh37
cg03473532,7,131008743,-,MKLN1,GRCh37
cg03475190,7,30919932,+,FAM188B,GRCh37
cg03475491,7,63041031,+,,GRCh37
cg03476105,7,96770912,+,ACN9,GRCh37
cg03476791,7,99067162,-,,GRCh37
cg03476862,7,98581334,+,TRRAP,GRCh37
cg03476864,7,157612081,+,PTPRN2;PTPRN2;PTPRN2,GRCh37
cg03477775,7,99035225,+,CPSF4;PTCD1;CPSF4,GRCh37
cg03479278,7,107219178,+,BCAP29;BCAP29,GRCh37
cg03480067,7,148286320,+,C7orf33,GRCh37
cg03480605,7,151038446,-,NUB1,GRCh37
cg03480698,7,158114659,+,PTPRN2;PTPRN2;PTPRN2,GRCh37
cg03481159,7,5269161,-,WIPI2;WIPI2;WIPI2;WIPI2;WIPI2,GRCh37
cg03481658,7,6051355,-,AIMP2,GRCh37
cg03483426,7,134671876,+,AGBL3,GRCh37
cg03485311,7,74070894,+,GTF2I;GTF2I;GTF2I;GTF2I;GTF2I,GRCh37
cg03485909,7,121033957,-,FAM3C;FAM3C,GRCh37
cg03486847,7,6567103,-,GRID2IP,GRCh37
cg03487115,7,91569843,+,AKAP9;AKAP9,GRCh37
cg03487935,7,51925284,+,,GRCh37
cg03488729,7,150932441,-,CHPF2,GRCh37
cg03489382,7,128432457,+,CCDC136;CCDC136,GRCh37
cg03489642,7,116278357,+,,GRCh37
cg03489712,7,143076881,+,ZYX;ZYX,GRCh37
cg03489907,7,1650459,-,,GRCh37
cg03490148,7,1025118,+,CYP2W1,GRCh37
cg03490567,7,43944817,+,URGCP;URGCP;URGCP,GRCh37
cg03490881,7,150329449,-,GIMAP6;GIMAP6;GIMAP6,GRCh37
cg03491970,7,16892988,-,,GRCh37
cg03492827,7,72838601,+,,GRCh37
cg03493146,7,69062082,-,,GRCh37
cg03493211,7,97923799,+,BAIAP2L1,GRCh37
cg03494005,7,100183994,+,FBXO24;LRCH4;FBXO24,GRCh37
cg03494277,7,101468709,-,CUX1;CUX1;CUX1,GRCh37
cg03495497,7,156238599,+,,GRCh37
cg03495625,7,155896389,+,,GRCh37
cg03496713,7,149570987,-,ATP6V0E2;LOC401431;ATP6V0E2;ATP6V0E2;ATP6V0E2,GRCh37
cg03496780,7,92466842,-,CDK6,GRCh37
cg03498570,7,129845423,+,TMEM209,GRCh37
cg03504834,7,114056377,+,FOXP2;FOXP2;FOXP2,GRCh37
cg03505616,7,65958755,-,,GRCh37
cg03506028,7,35494689,+,,GRCh37
cg03507277,7,107765811,+,LAMB4,GRCh37
cg03509467,7,76094015,+,DTX2;DTX2;DTX2,GRCh37
cg03509753,7,148922340,+,ZNF282,GRCh37
cg03509927,7,22396296,-,RAPGEF5,GRCh37
cg03509961,7,44366620,-,CAMK2B;CAMK2B;CAMK2B;CAMK2B;CAMK2B;CAMK2B;CAMK2B;CAMK2B,GRCh37
cg03510117,7,25164991,+,CYCS,GRCh37
cg03510186,7,155580742,+,,GRCh37
cg03510359,7,99698208,+,MCM7;AP4M1;MCM7;MCM7,GRCh37
cg03511031,7,157460477,+,PTPRN2;PTPRN2;PTPRN2,GRCh37
cg03511856,7,105439677,+,ATXN7L1;ATXN7L1,GRCh37
cg03512484,7,22893374,-,,GRCh37
cg03512511,7,54794719,+,,GRCh37
cg03514404,7,143579665,+,FAM115A,GRCh37
cg03514928,7,107798053,+,NRCAM;NRCAM;NRCAM,GRCh37
cg03514933,7,49709857,+,,GRCh37
cg03515663,7,157478510,+,PTPRN2;PTPRN2;PTPRN2,GRCh37
cg03515829,7,134233829,+,,GRCh37
cg03516551,7,2764919,-,,GRCh37
cg03517998,7,38726758,-,FAM183B,GRCh37
cg03518533,7,1789648,+,,GRCh37
cg03519145,7,6579213,-,GRID2IP,GRCh37
cg03519451,7,150780317,+,TMUB1;TMUB1;TMUB1,GRCh37
cg03520802,7,139273697,+,HIPK2;HIPK2,GRCh37
cg03521044,7,20838564,+,,GRCh37
cg03521347,7,44529975,+,NUDCD3,GRCh37
cg03521728,7,100541893,+,,GRCh37
cg03524243,7,22396146,-,RAPGEF5,GRCh37
cg03526828,7,1533342,+,INTS1,GRCh37
cg03527077,7,158059704,-,PTPRN2;PTPRN2;PTPRN2,GRCh37
cg03527683,7,126752816,-,GRM8;GRM8;GRM8,GRCh37
cg03528037,7,75695731,+,MDH2,GRCh37
cg03529367,7,102087309,+,ORAI2;ORAI2,GRCh37
cg03529432,7,27187502,-,HOXA6,GRCh37
cg03530393,7,31850782,+,PDE1C,GRCh37
cg03530573,7,1949247,+,MAD1L1;MAD1L1;MAD1L1,GRCh37
cg03530687,7,107708470,-,LAMB4,GRCh37
cg03532005,7,56119028,-,CCT6A;PSPH;CCT6A;PSPH,GRCh37
cg03532673,7,102787746,-,NAPEPLD;NAPEPLD,GRCh37
cg03532926,7,153584839,-,DPP6,GRCh37
cg03533005,7,33944359,-,BMPER,GRCh37
cg03533051,7,1865705,-,MAD1L1;MAD1L1;MAD1L1,GRCh37
cg03534322,7,128379791,-,CALU;CALU,GRCh37
cg03534655,7,3082233,-,CARD11,GRCh37
cg03536334,7,46044805,-,,GRCh37
cg03536885,7,27163820,-,HOXA3,GRCh37
cg03537938,7,45001765,-,,GRCh37
cg03537942,7,139167547,-,KLRG2,GRCh37
cg03538079,7,34874196,-,AAA1;NPSR1;NPSR1,GRCh37
cg03539736,7,80548024,+,SEMA3C,GRCh37
cg03541126,7,157928850,+,PTPRN2;PTPRN2;PTPRN2,GRCh37
cg03541799,7,127845636,-,,GRCh37
cg03542197,7,83146545,-,SEMA3E,GRCh37
cg03545047,7,149321876,+,ZNF767;ZNF767,GRCh37
cg03545083,7,99214496,+,ZNF498,GRCh37
cg03545536,7,99905334,+,SPDYE3;SPDYE3,GRCh37
cg03545635,7,2471551,+,CHST12,GRCh37
cg03547218,7,27190849,+,,GRCh37
cg03547487,7,26240458,+,CBX3;CBX3;HNRNPA2B1;HNRNPA2B1,GRCh37
cg03548091,7,142748962,+,OR6V1,GRCh37
cg03550794,7,100271228,-,GNB2,GRCh37
cg03551807,7,51323496,-,COBL,GRCh37
cg03552804,7,5293235,+,,GRCh37
cg03552937,7,44795713,+,ZMIZ2;ZMIZ2,GRCh37
cg03558805,7,73184883,+,CLDN3,GRCh37
cg03559568,7,157208968,-,DNAJB6,GRCh37
cg03560797,7,106301641,-,FLJ36031,GRCh37
cg03561128,7,7097910,-,,GRCh37
cg03564228,7,154985193,+,,GRCh37
cg03564506,7,98475901,-,TRRAP,GRCh37
cg03564557,7,1594949,-,TMEM184A,GRCh37
cg03565720,7,104459130,+,LHFPL3,GRCh37
cg03567939,7,151506147,-,PRKAG2;PRKAG2,GRCh37
cg03568858,7,100465221,+,TRIP6,GRCh37
cg03571927,7,89748238,+,DPY19L2P4,GRCh37
cg03572619,7,140303471,+,DENND2A,GRCh37
cg03573168,7,155897808,-,,GRCh37
cg03573679,7,2445727,+,CHST12,GRCh37
cg03574119,7,100728591,-,TRIM56,GRCh37
cg03574289,7,149571017,-,LOC401431;ATP6V0E2;ATP6V0E2,GRCh37
cg03574712,7,97580513,-,,GRCh37
cg03574882,7,151574332,-,PRKAG2,GRCh37
cg03575641,7,128809442,+,,GRCh37
cg03576480,7,7098182,+,,GRCh37
cg03577591,7,90893390,+,FZD1,GRCh37
cg03577655,7,49815365,-,VWC2,GRCh37
cg03577660,7,54826928,-,SEC61G;SEC61G;SEC61G;SEC61G,GRCh37
cg03579179,7,12444095,+,VWDE,GRCh37
cg03579694,7,155079975,+,,GRCh37
cg03582798,7,73021522,-,MLXIPL;MLXIPL;MLXIPL;MLXIPL,GRCh37
cg03584351,7,1184214,+,,GRCh37
cg03586240,7,1966361,+,MAD1L1;MAD1L1;MAD1L1,GRCh37
cg03588221,7,130132422,+,MEST;MEST;MESTIT1;MEST,GRCh37
cg03589123,7,72727071,-,TRIM50,GRCh37
cg03590328,7,2684462,+,TTYH3,GRCh37
cg03592824,7,75666768,-,STYXL1,GRCh37
cg03593189,7,73118533,+,STX1A;STX1A,GRCh37
cg03593280,7,106300098,+,FLJ36031;FLJ36031,GRCh37
cg03593757,7,94139752,-,CASD1,GRCh37
cg03594693,7,785356,-,HEATR2,GRCh37
cg03594908,7,25897344,+,,GRCh37
cg03595161,7,1127767,-,GPER;C7orf50;GPER;GPER;C7orf50;C7orf50;GPER,GRCh37
cg03595580,7,97880848,+,TECPR1,GRCh37
cg03596021,7,107207621,-,DUS4L,GRCh37
cg03599658,7,4803508,-,FOXK1,GRCh37
cg03601098,7,127228532,+,ARF5;ARF5,GRCh37
cg03602938,7,96339495,-,SHFM1,GRCh37
cg03603062,7,95224434,-,PDK4,GRCh37
cg03603286,7,99746475,-,C7orf59,GRCh37
cg03603395,7,128559623,+,,GRCh37
cg03603987,7,87905335,-,,GRCh37
cg03604067,7,1980273,+,MAD1L1;MAD1L1;MAD1L1,GRCh37
cg03604364,7,139705703,+,TBXAS1;TBXAS1;TBXAS1;TBXAS1;TBXAS1;TBXAS1,GRCh37
cg03604367,7,12610817,+,SCIN,GRCh37
cg03604463,7,105546097,-,,GRCh37
cg03604796,7,134896227,-,WDR91,GRCh37
cg03605686,7,95025194,-,PON3,GRCh37
cg03608285,7,99771583,+,GPC2,GRCh37
cg03608342,7,29724677,+,LOC646762,GRCh37
cg03609034,7,101680927,+,CUX1;CUX1;CUX1,GRCh37
cg03609427,7,48068758,-,SUNC1;SUNC1,GRCh37
cg03610867,7,155602060,-,SHH,GRCh37
cg03611057,7,157703425,+,PTPRN2;PTPRN2;PTPRN2,GRCh37
cg03613531,7,129303411,-,NRF1;NRF1,GRCh37
cg03616189,7,139184911,-,,GRCh37
cg03616573,7,149767828,+,,GRCh37
cg03619256,7,105515219,-,ATXN7L1;ATXN7L1,GRCh37
cg03625149,7,112120734,+,C7orf53;C7orf53,GRCh37
cg03631864,7,155260630,-,,GRCh37
cg03633004,7,2687534,+,TTYH3,GRCh37
cg03634234,7,152132218,-,MLL3,GRCh37
cg03634592,7,43946398,-,URGCP;URGCP;URGCP,GRCh37
cg03634735,7,1992524,-,MAD1L1;MAD1L1;MAD1L1,GRCh37
cg03634833,7,965534,-,ADAP1,GRCh37
cg03637179,7,99716580,+,TAF6;TAF6;TAF6;TAF6;TAF6;CNPY4;TAF6,GRCh37
cg03637614,7,129691233,+,ZC3HC1,GRCh37
cg03638172,7,4922944,-,RADIL,GRCh37
cg03638211,7,22538875,-,MGC87042;MGC87042,GRCh37
cg03638453,7,75123243,-,SPDYE5,GRCh37
cg03639429,7,55070311,-,,GRCh37
cg03639917,7,100610873,-,,GRCh37
cg03639919,7,44191311,+,GCK;GCK;GCK,GRCh37
cg03640110,7,122635026,+,TAS2R16,GRCh37
cg03640993,7,135413232,-,SLC13A4,GRCh37
cg03641497,7,94876484,+,PPP1R9A;PPP1R9A;PPP1R9A;PPP1R9A;PPP1R9A,GRCh37
cg03641797,7,5396436,-,TNRC18,GRCh37
cg03642066,7,158853865,-,VIPR2,GRCh37
cg03644238,7,148400542,+,CUL1,GRCh37
cg03644585,7,884825,+,UNC84A;UNC84A,GRCh37
cg03644971,7,134900650,+,,GRCh37
cg03644984,7,82286378,-,,GRCh37
cg03645088,7,65507073,+,,GRCh37
cg03645865,7,31518787,-,,GRCh37
cg03650946,7,27154562,+,HOXA3;HOXA3;HOXA3,GRCh37
cg03651427,7,149157076,+,ZNF777,GRCh37
cg03652257,7,42006676,-,GLI3,GRCh37
cg03652561,7,205900,+,FAM20C,GRCh37
cg03652595,7,72791458,-,,GRCh37
cg03652636,7,101454490,+,,GRCh37
cg03653377,7,158107573,+,PTPRN2;PTPRN2;PTPRN2,GRCh37
cg03653726,7,2769253,-,GNA12,GRCh37
cg03654001,7,100812981,-,,GRCh37
cg03656020,7,100805972,-,VGF,GRCh37
cg03656459,7,123635440,+,,GRCh37
cg03656632,7,5604635,+,,GRCh37
cg03656688,7,133816132,+,LRGUK,GRCh37
cg03657549,7,128116813,+,METTL2B;METTL2B,GRCh37
cg03659153,7,37888670,+,TXNDC3,GRCh37
cg03660134,7,149195865,+,ZNF746;ZNF746,GRCh37
cg03660331,7,56564743,-,DKFZp434L192,GRCh37
cg03660606,7,157659983,+,PTPRN2;PTPRN2;PTPRN2,GRCh37
cg03661160,7,97881541,+,TECPR1,GRCh37
cg03661164,7,148560646,-,EZH2;EZH2,GRCh37
cg03661844,7,106687922,+,PRKAR2B,GRCh37
cg03662843,7,128785077,-,TSPAN33,GRCh37
cg03663072,7,84964803,-,,GRCh37
cg03663120,7,2284600,-,NUDT1;NUDT1;NUDT1;NUDT1;NUDT1;NUDT1;NUDT1,GRCh37
cg03663456,7,170757,-,,GRCh37
cg03663556,7,50900556,-,,GRCh37
cg03663746,7,156433317,-,C7orf13;RNF32,GRCh37
cg03664589,7,1584275,+,TMEM184A,GRCh37
cg03664772,7,786682,-,HEATR2,GRCh37
cg03665494,7,151129313,+,CRYGN,GRCh37
cg03665605,7,99064212,+,ATP5J2;ATP5J2;ATP5J2;ATP5J2,GRCh37
cg03665832,7,98923565,+,ARPC1A;ARPC1A,GRCh37
cg03666028,7,72777575,+,,GRCh37
cg03666597,7,101752690,+,CUX1;CUX1;CUX1,GRCh37
cg03667083,7,30721010,-,CRHR2,GRCh37
cg03667621,7,1478715,-,MICALL2,GRCh37
cg03667641,7,1046346,+,C7orf50;C7orf50;C7orf50,GRCh37
cg03667819,7,28892206,-,,GRCh37
cg03669367,7,1031588,+,,GRCh37
cg03670228,7,2419316,-,EIF3B;EIF3B,GRCh37
cg03673694,7,37025706,-,ELMO1;ELMO1;ELMO1;ELMO1,GRCh37
cg03673737,7,87974733,-,,GRCh37
cg03674265,7,149322059,+,ZNF767;ZNF767,GRCh37
cg03675159,7,148991094,+,ZNF783,GRCh37
cg03676485,7,2563816,+,LFNG;LFNG;LFNG;LFNG,GRCh37
cg03678035,7,72813946,+,,GRCh37
cg03678146,7,2972392,+,CARD11,GRCh37
cg03678189,7,152525522,-,ACTR3B;ACTR3B,GRCh37
cg03678819,7,44925417,+,PURB,GRCh37
cg03682823,7,94286953,+,SGCE;PEG10;SGCE;PEG10;SGCE,GRCh37
cg03683554,7,100136168,+,AGFG2,GRCh37
cg03684273,7,152160885,-,LOC100128822,GRCh37
cg03684644,7,5084768,-,RBAK,GRCh37
cg03684886,7,138667303,+,KIAA1549;KIAA1549,GRCh37
cg03686455,7,2076998,-,MAD1L1;MAD1L1;MAD1L1,GRCh37
cg03686950,7,5330382,+,SLC29A4;SLC29A4,GRCh37
cg03687379,7,151092979,+,WDR86,GRCh37
cg03688058,7,89840708,+,STEAP2;STEAP2,GRCh37
cg03688139,7,152161695,-,LOC100128822,GRCh37
cg03689146,7,52341810,+,,GRCh37
cg03693105,7,151108340,-,WDR86,GRCh37
cg03694138,7,150060068,-,,GRCh37
cg03694157,7,73867831,+,GTF2IRD1;GTF2IRD1,GRCh37
cg03694293,7,75779629,-,,GRCh37
cg03694580,7,2271722,+,MAD1L1;MAD1L1;MAD1L1,GRCh37
cg03694587,7,157320088,-,,GRCh37
cg03695236,7,157369121,-,PTPRN2;PTPRN2;PTPRN2,GRCh37
cg03695448,7,99016977,-,BUD31;PTCD1,GRCh37
cg03696592,7,44786125,+,,GRCh37
cg03697024,7,21583438,+,DNAH11,GRCh37
cg03697173,7,4877433,-,RADIL,GRCh37
cg03697881,7,40803287,+,C7orf10,GRCh37
cg03698009,7,27204349,+,HOXA9,GRCh37
cg03698372,7,76110038,+,DTX2;DTX2;DTX2;DTX2,GRCh37
cg03699778,7,65670130,+,TPST1,GRCh37
cg03699958,7,73892704,+,GTF2IRD1;GTF2IRD1,GRCh37
cg03700230,7,25702848,+,,GRCh37
cg03700462,7,27135684,+,HOXA1;HOXA1,GRCh37
cg03701798,7,6145168,+,USP42,GRCh37
cg03703435,7,56018486,+,MRPS17,GRCh37
cg03703858,7,66275374,+,RABGEF1;LOC729156,GRCh37
cg03703997,7,45999082,-,,GRCh37
cg03704112,7,151146115,+,,GRCh37
cg03704308,7,42533414,+,,GRCh37
cg03705962,7,111571767,+,DOCK4,GRCh37
cg03707183,7,4901449,-,PAPOLB;RADIL;PAPOLB,GRCh37
cg03707599,7,75956931,+,YWHAG,GRCh37
cg03711348,7,22862508,+,TOMM7,GRCh37
cg03711622,7,26240903,+,CBX3;HNRNPA2B1;CBX3;HNRNPA2B1,GRCh37
cg03713186,7,100872377,+,,GRCh37
cg03713823,7,26119300,+,,GRCh37
cg03714522,7,150822902,-,AGAP3,GRCh37
cg03714773,7,91764589,-,CYP51A1;CYP51A1,GRCh37
cg03715129,7,2117724,+,MAD1L1;MAD1L1;MAD1L1,GRCh37
cg03715259,7,50935274,-,,GRCh37
cg03716388,7,114628176,+,MDFIC;MDFIC,GRCh37
cg03716590,7,95435309,-,DYNC1I1;DYNC1I1;DYNC1I1,GRCh37
cg03718380,7,92463218,-,CDK6;CDK6;CDK6,GRCh37
cg03719152,7,640381,+,PRKAR1B;PRKAR1B;PRKAR1B;PRKAR1B;PRKAR1B;PRKAR1B,GRCh37
cg03720758,7,2720689,+,AMZ1,GRCh37
cg03721064,7,50535834,-,DDC;DDC,GRCh37
cg03721528,7,120967900,-,WNT16;WNT16,GRCh37
cg03722243,7,93205131,-,CALCR;CALCR,GRCh37
cg03723321,7,1604407,-,,GRCh37
cg03723481,7,2071723,+,MAD1L1;MAD1L1;MAD1L1,GRCh37
cg03724423,7,27170755,-,HOXA4,GRCh37
cg03725536,7,27275738,+,,GRCh37
cg03727359,7,5465619,-,,GRCh37
cg03727554,7,2214778,+,MAD1L1;MAD1L1;MAD1L1,GRCh37
cg03728046,7,6566428,-,GRID2IP,GRCh37
cg03729152,7,19961027,+,,GRCh37
cg03729566,7,1059678,-,C7orf50;C7orf50;C7orf50,GRCh37
cg03729670,7,600505,-,PRKAR1B;PRKAR1B;PRKAR1B;PRKAR1B;PRKAR1B;PRKAR1B,GRCh37
cg03730533,7,26897685,+,SKAP2,GRCh37
cg03730546,7,64454811,-,,GRCh37
cg03731078,7,50518350,+,FIGNL1;FIGNL1,GRCh37
cg03734002,7,23695160,-,,GRCh37
cg03734783,7,150745709,+,ACCN3;ACCN3;ACCN3;ACCN3;ACCN3;ACCN3,GRCh37
cg03736781,7,158784655,-,,GRCh37
cg03736789,7,37025810,+,ELMO1;ELMO1;ELMO1,GRCh37
cg03738868,7,100281714,-,GIGYF1,GRCh37
cg03739378,7,105295865,-,ATXN7L1;ATXN7L1,GRCh37
cg03740025,7,127340829,+,SND1,GRCh37
cg03740159,7,105029385,+,SRPK2,GRCh37
cg03740682,7,22847569,-,,GRCh37
cg03741275,7,151829585,-,,GRCh37
cg03741576,7,878514,-,UNC84A;UNC84A,GRCh37
cg03742932,7,90338067,-,CDK14,GRCh37
cg03743037,7,134673090,+,AGBL3,GRCh37
cg03743262,7,113728506,+,,GRCh37
cg03744763,7,27184737,-,HOXA5,GRCh37
cg03744842,7,45067319,+,CCM2;CCM2;CCM2;CCM2;CCM2,GRCh37
cg03744954,7,23637556,-,CCDC126,GRCh37
cg03747003,7,73622754,+,LAT2;LAT2;LAT2,GRCh37
cg03749599,7,66237581,+,RABGEF1,GRCh37
cg03749900,7,136973838,+,PTN,GRCh37
cg03749915,7,158817176,-,LOC154822,GRCh37
cg03751149,7,135443227,-,,GRCh37
cg03751356,7,99070313,+,ZNF789;ZNF789,GRCh37
cg03751649,7,99017097,-,PTCD1;BUD31,GRCh37
cg03752259,7,4229894,-,SDK1;SDK1,GRCh37
cg03754402,7,158893862,-,VIPR2,GRCh37
cg03754982,7,50935286,+,,GRCh37
cg03755177,7,44349389,-,CAMK2B;CAMK2B;CAMK2B;CAMK2B;CAMK2B;CAMK2B;CAMK2B;CAMK2B,GRCh37
cg03761471,7,143077178,+,ZYX;ZYX,GRCh37
cg03762823,7,4019183,+,SDK1,GRCh37
cg03763508,7,27140942,-,HOXA2,GRCh37
